,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude,yearintcolumn
5210430,2012-01-01,-0.0409999999999999,0.493,Newark,United States,40.99N,74.56W,2012
5210442,2013-01-01,-0.968,0.29,Newark,United States,40.99N,74.56W,2013
5224101,2012-01-01,4.87,0.379,Newport News,United States,37.78N,77.29W,2012
5224113,2013-01-01,4.049,0.314,Newport News,United States,37.78N,77.29W,2013
5297868,2012-01-01,11.140999999999998,0.32,Nogales,United States,31.35N,111.20W,2012
5297880,2013-01-01,7.763999999999999,0.409,Nogales,United States,31.35N,111.20W,2013
5306717,2012-01-01,9.07,0.4529999999999999,Norfolk,United States,36.17N,75.58W,2012
5306729,2013-01-01,8.081,0.428,Norfolk,United States,36.17N,75.58W,2013
5311897,2012-01-01,7.725,0.3379999999999999,Norman,United States,34.56N,97.30W,2012
5311909,2013-01-01,6.381,0.313,Norman,United States,34.56N,97.30W,2013
5314042,2012-01-01,8.055,0.53,North Las Vegas,United States,36.17N,115.36W,2012
5314054,2013-01-01,5.335,0.291,North Las Vegas,United States,36.17N,115.36W,2013
5321187,2012-01-01,11.581,0.6940000000000001,Norwalk,United States,34.56N,118.70W,2012
5321199,2013-01-01,8.812999999999999,0.6509999999999999,Norwalk,United States,34.56N,118.70W,2013
5371540,2012-01-01,14.36,0.521,Nuevo Laredo,United States,28.13N,99.09W,2012
5371552,2013-01-01,13.734000000000002,0.319,Nuevo Laredo,United States,28.13N,99.09W,2013
5386418,2012-01-01,9.993,0.625,Oakland,United States,37.78N,122.03W,2012
5386430,2013-01-01,8.32,0.278,Oakland,United States,37.78N,122.03W,2013
5405062,2012-01-01,15.113,0.665,Oceanside,United States,32.95N,117.77W,2012
5405074,2013-01-01,13.404000000000002,0.552,Oceanside,United States,32.95N,117.77W,2013
5435558,2012-01-01,5.621,0.35,Oklahoma City,United States,36.17N,97.46W,2012
5435570,2013-01-01,4.25,0.293,Oklahoma City,United States,36.17N,97.46W,2013
5443757,2012-01-01,1.7119999999999995,0.347,Olathe,United States,39.38N,95.72W,2012
5443769,2013-01-01,-0.1619999999999999,0.41,Olathe,United States,39.38N,95.72W,2013
5463758,2012-01-01,-0.6729999999999999,0.45,Omaha,United States,40.99N,95.86W,2012
